pfam_id,primary_role,resistant,reason
PF00152,other,no,"tRNA-synt_2 is related to tRNA synthetases, which are general metabolic enzymes not specific to BGC function."
PF00153,other,no,The domain is related to mitochondrial carriers but does not have a specific biosynthetic function or resistance role.
PF00154,other,no,"RecA is involved in DNA repair, not directly related to biosynthetic gene clusters."
PF00155,other,no,The domain is not specifically related to biosynthetic gene clusters or resistance.
PF00156,other,no,"The domain includes various phosphoribosyl transferase enzymes, which are not directly involved in biosynthetic backbone assembly, tailoring, transport, or regulation."
PF00157,other,no,The Pou domain is not specifically related to biosynthetic functions or resistance.
PF00158,regulation,no,"Sigma54_activat is a domain involved in the regulation of gene expression, specifically related to sigma factor activation."
PF00160,other,no,"Cyclophilins are involved in protein folding and chaperone functions, not directly in biosynthetic pathways or resistance."
PF00161,other,no,"The PFAM ID refers to a domain with insufficient information to categorize it under core, tailoring, transport, or regulation."
PF00162,other,no,"PGK is a phosphoglycerate kinase involved in glycolysis, not directly related to biosynthetic gene clusters."
PF00163,other,no,"Ribosomal_S4 is a ribosomal protein domain involved in protein synthesis, not directly related to biosynthetic gene clusters."
PF00164,other,no,"Ribosomal protein, not directly involved in biosynthetic processes or resistance."
PF00165,regulation,no,HTH_AraC is involved in regulating gene expression in response to arabinose.
PF00166,other,no,"Cpn10 is a chaperonin involved in protein folding, not directly related to biosynthetic functions or resistance."
PF00168,other,no,The C2 domain is not specifically related to biosynthetic functions or resistance.
PF00170,regulation,no,"The bZIP domain is a transcription factor involved in regulating gene expression, not directly related to biosynthetic functions or resistance."
PF00171,other,no,Aldehyde dehydrogenases are general metabolic enzymes and do not directly relate to biosynthetic gene clusters.
PF00172,other,no,"The domain is a zinc cluster, which is not directly involved in biosynthetic functions or resistance."
PF00173,other,no,"Cyt-b5 domains are involved in heme binding and steroid binding, but do not directly participate in biosynthetic processes or confer resistance."
PF00174,other,no,The domain is involved in oxidoreductase activity but does not directly relate to biosynthetic pathways or resistance.
PF00175,other,no,"NAD_binding_1 is associated with enzymes like xanthine dehydrogenases, which are not directly involved in biosynthetic pathways or resistance."
PF00176,regulation,no,"The domain is involved in transcription regulation and chromatin unwinding, which are regulatory functions."
PF00177,other,no,Ribosomal protein S7 is not involved in biosynthetic processes or resistance.
PF00179,other,no,"The domain is related to ubiquitination and proteasome-mediated degradation, which is not specific to biosynthetic gene clusters."
PF00180,other,no,The domain Iso_dh does not have a specific function related to biosynthetic pathways or resistance.
PF00181,other,no,"Ribosomal_L2_N is a ribosomal protein domain, which is not specific to biosynthetic gene clusters."
PF00182,other,no,"The domain is a glycoside hydrolase, which is not directly involved in biosynthetic pathways or resistance."
PF00183,other,no,"HSP90 is a chaperone protein involved in protein folding and stabilization, not directly related to biosynthetic gene clusters."
PF00185,other,no,"The domain name and description do not provide specific information indicating a role in biosynthesis, transport, or resistance."
PF00186,other,no,The domain is not specifically related to biosynthetic gene clusters or resistance.
PF00187,other,no,"Chitin_bind_1 is a domain associated with binding chitin, which does not directly relate to biosynthetic processes or resistance."
PF00188,other,no,The CAP domain is involved in various regulatory and signaling processes but does not directly relate to biosynthetic functions or resistance.
PF00189,other,no,"The domain is related to ribosomal proteins, which are not specific to biosynthetic gene clusters."
PF00190,other,no,Cupin_1 is associated with plant seed storage proteins and does not directly relate to biosynthetic functions or resistance.
PF00191,other,no,Annexins are not directly involved in biosynthetic pathways or resistance mechanisms.
PF00194,other,no,Carb_anhydrase is not directly involved in biosynthetic processes or resistance.
PF00195,core,no,"Chalcone synthase is involved in the biosynthetic pathway for flavonoids, directly contributing to the assembly of the biosynthetic backbone."
PF00196,other,no,GerE is a domain associated with regulation but lacks specific information on resistance or self-protection.
PF00198,other,no,"The domain is related to a lipoyl binding domain and a catalytic domain, which does not directly relate to biosynthetic functions or resistance."
PF00199,other,no,Catalase is involved in the breakdown of hydrogen peroxide but does not directly relate to biosynthetic gene clusters or confer resistance.
PF00201,tailoring,no,"UDPGT (UDP-glucuronosyltransferase) is involved in the modification of compounds, specifically in glycosylation, which fits the tailoring category."
PF00202,other,no,The domain is not specific to biosynthetic gene clusters and lacks a clear functional role related to resistance.
PF00203,other,no,"Ribosomal_S19 is a ribosomal protein domain, which is not specific to biosynthetic gene clusters."
PF00204,other,no,DNA gyrase B is involved in DNA supercoiling and is not directly related to biosynthetic gene clusters or resistance.
PF00205,other,no,"The domain is part of TPP enzymes, which are not directly involved in biosynthetic pathways or resistance."
PF00206,other,no,"The domain is classified as a lyase, which does not fit into the specific categories of core, tailoring, transport, or regulation."
PF00207,other,no,The alpha-2-macroglobulin family is not directly involved in biosynthetic processes or resistance.
PF00208,other,no,The domain is not specified to have a direct role in biosynthetic pathways or resistance.
PF00209,transport,no,"The SNF domain is a transporter, but the description does not indicate a role in resistance or self-protection."
PF00210,other,no,"Ferritins are involved in iron storage and metabolism, not directly related to biosynthetic gene clusters."
PF00211,other,no,"The domain is related to guanylate cyclase, which is not specific to biosynthetic gene clusters."
PF00213,other,no,The OSCP domain is related to ATP synthase and does not directly participate in biosynthetic processes or confer resistance.
PF00215,other,no,"OMPdecase is involved in pyrimidine biosynthesis, which is not directly related to biosynthetic gene clusters."
PF00216,other,no,The domain is related to DNA binding but does not directly contribute to biosynthetic processes or resistance.
PF00217,other,no,The domain is related to ATP binding and does not directly participate in biosynthetic processes or confer resistance.
PF00218,other,no,The domain IGPS does not have a specific role in biosynthetic pathways and is categorized as 'other'.
PF00221,other,no,The domain is involved in the enzymatic conversion of amino acids but does not directly contribute to biosynthetic backbone assembly or modification.
PF00223,other,no,The domain PsaA_PsaB does not have a specific function related to biosynthetic gene clusters or resistance.
PF00224,other,no,"The domain is related to pyruvate kinases, which are general metabolic enzymes and not specific to biosynthetic gene clusters."
PF00226,other,no,"DnaJ is a chaperone domain involved in protein folding, not directly related to biosynthetic functions or resistance."
PF00227,other,no,"The proteasome is involved in protein degradation and regulation, but does not directly participate in biosynthetic processes or confer resistance."
PF00230,transport,no,"MIP proteins are involved in the transport of water and small solutes, but are not directly related to resistance or self-protection."
PF00231,other,no,"ATP-synt is related to ATP synthesis, which is not specific to biosynthetic gene clusters."
PF00232,other,no,"The domain is a glycoside hydrolase, which is not directly involved in biosynthetic gene clusters."
PF00237,other,no,"Ribosomal_L22 is a ribosomal protein, not directly involved in biosynthetic processes."
PF00238,other,no,"Ribosomal_L14 is a ribosomal protein, which is not specific to biosynthetic gene clusters."
PF00239,other,no,Resolvase is involved in DNA resolution and does not directly relate to biosynthetic gene clusters or resistance.
PF00240,other,no,"Ubiquitin-like proteins are involved in protein modification and delivery, not directly related to biosynthetic pathways or resistance."
PF00241,other,no,"Cofilin_ADF is involved in actin filament dynamics, not directly related to biosynthetic gene clusters or resistance."
PF00245,other,no,Alk_phosphatase is not directly involved in biosynthetic processes or resistance.
PF00246,other,no,"Peptidase_M14 is a peptidase domain, which does not directly relate to biosynthetic gene clusters or resistance."
PF00248,other,no,"The domain is related to K+ ion channel regulation and oxidoreductase activity, which does not fit into the biosynthetic roles."
PF00251,other,no,"This domain is part of a glycosyl hydrolase family, which is not directly involved in biosynthetic gene clusters."
PF00252,other,no,"Ribosomal_L16 is a ribosomal protein domain, which is not specific to biosynthetic gene clusters."
PF00253,other,no,"Ribosomal S14 is a ribosomal protein, not directly involved in biosynthetic processes."
PF00254,other,no,The domain FKBP_C is not directly related to biosynthetic functions or resistance.
PF00255,other,no,"GSHPx (Glutathione peroxidase) is a general metabolic enzyme involved in antioxidant defense, not specific to BGC function."
PF00258,other,no,"Flavodoxin is a redox protein involved in electron transfer, not directly related to biosynthetic pathways or resistance."
PF00261,other,no,"Tropomyosin is involved in muscle contraction and cytoskeletal organization, not directly related to biosynthetic functions or resistance."
PF00263,other,no,Secretin is a type of protein involved in the formation of a channel for transport but does not directly relate to biosynthetic gene clusters or resistance.
PF00264,tailoring,no,"Tyrosinase is involved in the chemical modification of compounds, specifically in the oxidation of phenolic compounds."
PF00265,other,no,The domain TK (threonine kinase) does not directly relate to biosynthetic processes or resistance.
PF00266,other,no,Aminotran_5 is involved in amino transfer reactions but is not directly related to biosynthetic pathways or resistance.
PF00267,transport,no,"Porins are channels that facilitate the transport of molecules across membranes, but they are not specifically known for conferring resistance."
PF00268,other,no,The domain is not specific to biosynthetic functions and lacks a clear role in resistance.
PF00269,other,no,The description does not provide specific information about the functional role of SASP in biosynthesis or resistance.
PF00270,other,no,DEAD box helicases are involved in RNA metabolism and not directly related to biosynthetic gene clusters.
PF00271,other,no,"Helicase_C is involved in helicase activity, which is not directly related to biosynthetic gene clusters."
PF00274,other,no,"The domain is related to glycolysis, which is a general metabolic process and not specific to biosynthetic gene clusters."
PF00275,core,no,"EPSP synthase is involved in the biosynthetic pathway of aromatic amino acids, directly contributing to the assembly of the biosynthetic backbone."
PF00276,other,no,"Ribosomal_L23 is a ribosomal protein, which is not specific to biosynthetic gene clusters."
PF00278,other,no,"This domain is a decarboxylase involved in amino acid metabolism, not directly related to biosynthetic pathways or resistance."
PF00280,other,no,The domain name and description do not indicate a specific biosynthetic function or resistance.
PF00281,other,no,"Ribosomal_L5 is a ribosomal protein domain, which is not specific to biosynthetic gene clusters."
PF00282,other,no,The domain is not specifically related to biosynthetic functions or resistance.
PF00283,other,no,The domain is not specifically related to biosynthetic gene clusters or resistance.
PF00284,other,no,Cytochrome b559 is involved in electron transport and not directly related to biosynthetic gene clusters or resistance.
PF00285,other,no,The domain is part of an enzyme but does not directly relate to biosynthetic pathways or resistance.
PF00288,other,no,GHMP_kinases_N is involved in ATP binding and is not specific to biosynthetic gene clusters.
PF00289,other,no,"The domain is related to biotin carboxylase enzymes, which are not directly involved in biosynthetic pathways or resistance."
PF00290,other,no,The domain Trp_syntA does not have a clear functional role in biosynthetic pathways based on the provided information.
PF00291,other,no,"The domain is involved in various enzymatic reactions but does not directly relate to biosynthetic backbone assembly, tailoring, transport, or regulation."
PF00292,other,no,The domain PAX does not have a specific functional role related to biosynthetic gene clusters or resistance.
PF00293,other,no,NUDIX domains are involved in hydrolyzing nucleoside diphosphate derivatives but are not specific to biosynthetic gene clusters or resistance.
PF00294,other,no,"PfkB is a kinase involved in carbohydrate and pyrimidine metabolism, not directly related to biosynthetic gene clusters."
PF00295,tailoring,no,"Glycosyl hydrolases modify polysaccharides, which is a tailoring function, but they are not known to confer resistance."
PF00296,other,no,Bac_luciferase is not directly involved in biosynthetic processes related to resistance or self-protection.
PF00297,other,no,"Ribosomal protein L3 is involved in ribosome function, not directly in biosynthetic processes."
PF00298,other,no,"Ribosomal_L11 is a ribosomal protein, which is not specific to biosynthetic gene clusters."
PF00300,other,no,"The domain is involved in phosphatase activity, which is not specific to biosynthetic gene clusters."
PF00301,other,no,"Rubredoxin is a type of iron-sulfur protein involved in electron transfer, not directly related to biosynthetic pathways or resistance."
PF00302,other,no,"The domain name and description do not provide specific information indicating a role in biosynthesis, tailoring, transport, or regulation."
PF00303,other,no,"Thymidylate synthases are involved in nucleotide synthesis, not directly in biosynthetic pathways or resistance."
PF00305,tailoring,no,"Lipoxygenase is involved in the chemical modification of compounds, fitting the tailoring category."
PF00306,other,no,ATP synthase is a general metabolic enzyme not specific to BGC function.
PF00308,other,no,The domain is related to ATPase activity and not specific to biosynthetic gene clusters.
PF00309,regulation,no,The Sigma54_AID domain is involved in transcription regulation and does not confer resistance.
PF00310,other,no,The domain GATase_2 does not have a specific function related to biosynthetic pathways or resistance.
PF00311,other,no,PEPcase is not directly involved in biosynthetic processes related to BGCs.
PF00312,other,no,"Ribosomal_S15 is a ribosomal protein domain, which is not specific to biosynthetic gene clusters."
PF00313,other,no,The domain CSD does not have a specific function related to biosynthetic gene clusters or resistance.
PF00314,other,no,"Thaumatin is a plant protein known for its sweetening properties, not directly involved in biosynthetic pathways or resistance."
PF00316,other,no,FBPase is a general metabolic enzyme and does not directly relate to biosynthetic gene clusters.
PF00317,other,no,The domain name and description do not indicate a specific biosynthetic function or resistance.
PF00318,other,no,"Ribosomal_S2 is a ribosomal protein domain, which is not specific to biosynthetic gene clusters."
PF00324,transport,no,"AA_permease is a transporter domain that facilitates the import of amino acids, but is not specifically known for conferring resistance."
PF00325,other,no,The description does not provide specific information about a biosynthetic function or resistance.
PF00326,other,no,"Peptidase_S9 is a peptidase domain, which does not directly relate to biosynthetic gene clusters or resistance."
PF00327,other,no,"Ribosomal_L30 is a ribosomal protein, which is not specific to biosynthetic gene clusters."
PF00328,other,no,"The domain is involved in phosphatase activity, which is not specific to biosynthetic gene clusters."
PF00329,other,no,The domain is not specifically related to biosynthetic functions or resistance.
PF00330,other,no,"Aconitase is a general metabolic enzyme involved in the citric acid cycle, not specific to biosynthetic gene clusters."
PF00331,other,no,"The domain is a glycoside hydrolase, which is not directly involved in biosynthetic pathways or resistance."
PF00333,other,no,"Ribosomal_S5 is a ribosomal protein domain, which is not specific to biosynthetic gene clusters."
PF00334,other,no,"NDK is a nucleoside diphosphate kinase, which is not specific to biosynthetic gene clusters."
PF00338,other,no,Ribosomal proteins are not directly involved in biosynthetic processes or resistance.
PF00341,other,no,The domain PDGF does not have a specific role in biosynthetic gene clusters and is not related to resistance.
PF00342,other,no,Phosphoglucose isomerase is a general metabolic enzyme not specific to BGC function.
PF00343,other,no,"Phosphorylase is involved in carbohydrate metabolism, not directly related to biosynthetic gene clusters or resistance."
PF00344,other,no,"SecY is a component of the protein translocation machinery, not directly involved in biosynthetic processes or resistance."
PF00345,other,no,"PapD_N is a chaperone domain involved in pilus and flagellar assembly, not directly related to biosynthetic gene clusters."
PF00346,other,no,The domain name and description do not indicate a specific function related to biosynthetic gene clusters.
PF00347,other,no,"Ribosomal_L6 is a ribosomal protein, which is not specific to biosynthetic gene clusters."
PF00348,core,no,"Polyprenyl synthetases are involved in the biosynthesis of polyprenols, which are part of the core biosynthetic pathway."
PF00349,other,no,"Hexokinase is a general metabolic enzyme involved in glucose phosphorylation, not specific to biosynthetic gene clusters."
PF00350,other,no,Dynamin_N is not directly involved in biosynthetic processes or resistance.
PF00351,other,no,"The domain is related to a metabolic enzyme involved in amino acid metabolism, not directly linked to biosynthetic pathways or resistance."
PF00353,other,no,The domain is not described in a way that indicates a specific biosynthetic function or resistance.
PF00354,other,no,Pentaxins are not directly involved in biosynthetic processes or resistance mechanisms.
PF00355,other,no,The Rieske domain is involved in electron transfer and does not directly participate in biosynthetic processes or confer resistance.
PF00356,regulation,no,LacI is a transcription factor involved in the regulation of gene expression.
PF00358,other,no,The domain PTS_EIIA_1 does not have a specific function related to biosynthetic gene clusters and is categorized as 'other'.
PF00359,other,no,The domain is not specifically related to biosynthetic functions or resistance.
PF00360,other,no,"Phytochromes are photoreceptors involved in plant development, not directly related to biosynthetic processes or resistance."
PF00361,transport,no,"The domain is involved in membrane transport, specifically in electron transfer and proton translocation, but does not confer resistance."
PF00364,other,no,"The domain is related to biotin and lipoic acid binding, which does not directly relate to biosynthetic functions or resistance."
PF00365,other,no,"PFK is a phosphofructokinase, which is a general metabolic enzyme not specific to BGC function."
PF00366,other,no,"Ribosomal_S17 is a ribosomal protein, which is not specific to biosynthetic gene clusters."
PF00367,other,no,"The domain PTS_EIIB is part of a phosphotransferase system, which is not directly involved in biosynthetic processes or resistance."
PF00368,other,no,HMG-CoA reductase is involved in isoprenoid synthesis but does not directly relate to biosynthetic gene clusters.
PF00370,other,no,The FGGY_N domain is not directly involved in biosynthetic processes or resistance mechanisms.
PF00372,other,no,Hemocyanin is a respiratory protein and not directly involved in biosynthetic processes or resistance.
PF00374,other,no,The domain is not specifically related to biosynthetic functions or resistance.
PF00375,other,no,The domain SDF does not have a specific function related to biosynthetic gene clusters or resistance.
PF00376,regulation,no,"MerR is a transcriptional regulator that responds to environmental signals, not directly involved in resistance."
PF00378,other,no,"The enzymes listed are involved in various metabolic processes but do not directly relate to biosynthetic backbone assembly, tailoring, transport, or regulation."
PF00380,other,no,Ribosomal proteins are not specific to biosynthetic gene clusters and do not confer resistance.
PF00381,other,no,"PTS-HPr is a general metabolic protein involved in phosphotransfer, not specific to biosynthetic gene clusters."
PF00383,other,no,The domain is not specifically related to biosynthetic functions or resistance.
PF00384,other,no,The domain is not specifically related to biosynthetic functions or resistance.
PF00386,other,no,"C1q is involved in the complement system, not directly related to biosynthetic gene clusters."
PF00388,other,no,The domain is not directly involved in biosynthetic processes or resistance.
PF00389,other,no,"The domain is related to dehydrogenases, which are general metabolic enzymes and not specific to biosynthetic gene clusters."
PF00390,other,no,"The domain is named 'malic' but lacks specific information indicating a role in biosynthesis, modification, transport, or regulation."
PF00391,other,no,"The domain is described as a mobile domain in proteins, not directly related to biosynthetic functions or resistance."
PF00392,regulation,no,"GntR is a regulatory protein involved in transcription factor activity, not directly related to biosynthetic processes or resistance."
PF00393,other,no,The domain is related to a metabolic enzyme (6-phosphogluconate dehydrogenase) and does not directly participate in biosynthetic processes or confer resistance.
PF00394,other,no,Cu-oxidase is not directly involved in biosynthetic processes or resistance.
PF00395,other,no,The SLH domain does not have a specific role in biosynthesis or resistance.
PF00398,other,no,The domain name and description do not indicate a specific biosynthetic function or resistance role.
PF00400,other,no,WD40 domains are involved in protein-protein interactions and do not have a specific role in biosynthetic gene clusters or resistance.
PF00401,other,no,ATP synthase is not directly involved in biosynthetic processes or resistance.
PF00403,other,no,The HMA domain is not specifically related to biosynthetic functions or resistance.
PF00404,other,no,"Dockerin is involved in complex formation in the cellulosome, not directly related to biosynthesis or resistance."
PF00406,other,no,ADK (Adenylate kinase) is a general metabolic enzyme and does not directly relate to biosynthetic gene clusters.
PF00408,other,no,The domain is not specific to biosynthetic gene clusters and lacks a clear functional description.
PF00410,other,no,"Ribosomal_S8 is a ribosomal protein, which is not specific to biosynthetic gene clusters."
PF00411,other,no,"Ribosomal_S11 is a ribosomal protein domain, which is not specific to biosynthetic gene clusters."
PF00413,other,no,Peptidase_M10 is a protease that cleaves peptides but is not directly involved in biosynthetic pathways or resistance.
PF00415,other,no,RCC1 is not directly related to biosynthetic gene clusters or resistance.
PF00416,other,no,Ribosomal protein S13 is not involved in biosynthetic processes or resistance.
PF00419,other,no,"The domain is related to fimbrial structures, which are not directly involved in biosynthetic processes or resistance."
PF00420,tailoring,no,"The domain is involved in oxidation-reduction processes, which are typically associated with the chemical modification of biosynthetic products."
PF00421,other,no,The domain is not specific to biosynthetic gene clusters and does not confer resistance.
PF00425,other,no,The domain is involved in the biosynthesis of chorismate but does not directly assemble the biosynthetic backbone or modify the product scaffold.
PF00427,other,no,The domain name and description do not indicate a specific biosynthetic function or resistance.
PF00430,other,no,"ATP-synt_B is part of ATP synthase, which is not specific to biosynthetic gene clusters."
PF00431,other,no,The CUB domain does not have a specific role in biosynthetic gene clusters and is not related to resistance.
