pfam_id,clan_id,description
PF00045,,Hemopexin
PF00046,CL0123,Homeodomain
PF00047,CL0159,Immunoglobulin domain
PF00048,CL0730,"Small cytokines (intecrine/chemokine), interleukin-8 like"
PF00049,CL0239,Insulin/IGF/Relaxin family
PF00050,CL0005,Kazal-type serine protease inhibitor domain
PF00051,CL0602,Kringle domain
PF00052,CL0202,Laminin B (Domain IV)
PF00053,CL0001,Laminin EGF domain
PF00054,CL0004,Laminin G domain
PF00055,CL0202,Laminin N-terminal (Domain VI)
PF00056,CL0063,"lactate/malate dehydrogenase, NAD binding domain"
PF00057,,Low-density lipoprotein receptor domain class A
PF00058,CL0186,Low-density lipoprotein receptor repeat class B
PF00059,CL0056,Lectin C-type domain
PF00060,CL0030,Ligand-gated ion channel
PF00061,CL0116,Lipocalin / cytosolic fatty-acid binding protein family
PF00062,CL0037,C-type lysozyme/alpha-lactalbumin family
PF00063,CL0023,Myosin head (motor domain)
PF00064,CL0186,Neuraminidase
PF00066,,LNR domain
PF00067,,Cytochrome P450
PF00068,CL0629,Phospholipase A2
PF00069,CL0016,Protein kinase domain
PF00070,CL0063,Pyridine nucleotide-disulphide oxidoreductase
PF00071,CL0023,Ras family
PF00072,CL0304,Response regulator receiver domain
PF00073,CL0055,picornavirus capsid protein
PF00074,,Pancreatic ribonuclease
PF00075,CL0219,RNase H
PF00076,CL0221,RNA recognition motif
PF00077,CL0129,Retroviral aspartyl protease
PF00078,CL0027,Reverse transcriptase (RNA-dependent DNA polymerase)
PF00079,,Serpin (serine protease inhibitor)
PF00080,,Copper/zinc superoxide dismutase (SODC)
PF00081,,"Iron/manganese superoxide dismutases, alpha-hairpin domain"
PF00082,,Subtilase family
PF00083,CL0015,Sugar (and other) transporter
PF00084,CL0001,Sushi repeat (SCR repeat)
PF00085,CL0172,Thioredoxin
PF00086,,Thyroglobulin type-1 repeat
PF00087,CL0117,Snake toxin and toxin-like protein
PF00088,CL0630,Trefoil (P-type) domain
PF00089,CL0124,Trypsin
PF00090,CL0692,Thrombospondin type 1 domain
PF00091,CL0063,"Tubulin/FtsZ family, GTPase domain"
PF00092,CL0128,von Willebrand factor type A domain
PF00093,CL0451,von Willebrand factor type C domain
PF00094,CL0741,von Willebrand factor type D domain
PF00095,,WAP-type (Whey Acidic Protein) 'four-disulfide core'
PF00096,CL0361,"Zinc finger, C2H2 type"
PF00097,CL0229,"Zinc finger, C3HC4 type (RING finger)"
PF00098,CL0511,Zinc knuckle
PF00100,CL0159,ZP-C domain
PF00101,,"Ribulose bisphosphate carboxylase, small chain"
PF00102,CL0031,Protein-tyrosine phosphatase
PF00103,CL0053,Somatotropin hormone family
PF00104,,Ligand-binding domain of nuclear hormone receptor
PF00105,CL0839,"Double treble clef zinc finger, C4 type"
PF00106,CL0063,short chain dehydrogenase
PF00107,CL0063,Zinc-binding dehydrogenase
PF00108,CL0046,"Thiolase, N-terminal domain"
PF00109,CL0046,"Beta-ketoacyl synthase, N-terminal domain"
PF00110,,wnt family
PF00111,CL0486,2Fe-2S iron-sulfur cluster binding domain
PF00112,CL0125,Papain family cysteine protease
PF00113,CL0036,"Enolase, C-terminal TIM barrel domain"
PF00114,CL0327,Pilin (bacterial filament)
PF00115,CL0714,Cytochrome C and Quinol oxidase polypeptide I
PF00116,CL0026,"Cytochrome C oxidase subunit II, periplasmic domain"
PF00117,CL0014,Glutamine amidotransferase class-I
PF00118,,TCP-1/cpn60 chaperonin family
PF00119,,ATP synthase A chain
PF00120,CL0286,"Glutamine synthetase, catalytic domain"
PF00121,CL0036,Triosephosphate isomerase
PF00122,,E1-E2 ATPase
PF00123,,Peptide hormone
PF00124,,Photosynthetic reaction centre protein
PF00125,CL0012,Core histone H2A/H2B/H3/H4
PF00126,CL0123,"Bacterial regulatory helix-turn-helix protein, lysR family"
PF00127,CL0026,"Copper binding proteins, plastocyanin/azurin family"
PF00128,CL0036,"Alpha amylase, catalytic domain"
PF00129,CL0343,"Class I Histocompatibility antigen, domains alpha 1 and 2"
PF00130,CL0229,Phorbol esters/diacylglycerol binding domain (C1 domain)
PF00131,CL0461,Metallothionein
PF00132,CL0536,Bacterial transferase hexapeptide (six repeats)
PF00133,CL0039,"tRNA synthetases class I (I, L, M and V)"
PF00134,CL0065,"Cyclin, N-terminal domain"
PF00135,CL0028,Carboxylesterase family
PF00136,CL0194,DNA polymerase family B
PF00137,,ATP synthase subunit C
PF00139,CL0004,Legume lectin domain
PF00140,,"Sigma-70 factor, region 1.2"
PF00141,CL0617,Peroxidase
PF00142,CL0023,"4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family"
PF00143,CL0053,Interferon alpha/beta domain
PF00144,CL0013,Beta-lactamase
PF00145,CL0063,C-5 cytosine-specific DNA methylase
PF00146,CL0425,NADH dehydrogenase
PF00147,CL0422,"Fibrinogen beta and gamma chains, C-terminal globular domain"
PF00148,CL0043,Nitrogenase component 1 type Oxidoreductase
PF00149,CL0163,Calcineurin-like phosphoesterase
PF00150,CL0036,Cellulase (glycosyl hydrolase family 5)
PF00151,CL0028,Lipase
PF00152,CL0040,"tRNA synthetases class II (D, K and N) "
PF00153,,Mitochondrial carrier protein
PF00154,CL0023,recA bacterial DNA recombination protein
PF00155,CL0061,Aminotransferase class I and II
PF00156,CL0533,Phosphoribosyl transferase domain
PF00157,CL0123,Pou domain - N-terminal to homeobox domain
PF00158,CL0023,Sigma-54 interaction domain
PF00159,,Pancreatic hormone peptide
PF00160,CL0475,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF00161,,Ribosome inactivating protein
PF00162,,Phosphoglycerate kinase
PF00163,CL0492,Ribosomal protein S4/S9 N-terminal domain
PF00164,CL0021,Ribosomal protein S12/S23
PF00165,CL0123,"Bacterial regulatory helix-turn-helix proteins, AraC family"
PF00166,CL0296,Chaperonin 10 Kd subunit
PF00167,CL0066,Fibroblast growth factor
PF00168,CL0154,C2 domain
PF00169,CL0266,PH domain
PF00170,CL0018,bZIP transcription factor
PF00171,CL0099,Aldehyde dehydrogenase family
PF00172,,Fungal Zn(2)-Cys(6) binuclear cluster domain
PF00173,,Cytochrome b5-like Heme/Steroid binding domain
PF00174,CL0072,Oxidoreductase molybdopterin binding domain
PF00175,CL0091,Oxidoreductase NAD-binding domain 
PF00176,CL0023,SNF2-related domain
PF00177,,Ribosomal protein S7p/S5e
PF00178,CL0123,Ets-domain
PF00179,CL0208,Ubiquitin-conjugating enzyme
PF00180,CL0270,Isocitrate/isopropylmalate dehydrogenase
PF00181,CL0021,"Ribosomal Proteins L2, RNA binding domain"
PF00182,CL0037,Chitinase class I
PF00183,,Hsp90 protein
PF00184,,"Neurohypophysial hormones, C-terminal Domain"
PF00185,CL0063,"Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain"
PF00186,CL0387,Dihydrofolate reductase
PF00187,,Chitin recognition protein
PF00188,CL0659,Cysteine-rich secretory protein family
PF00189,,"Ribosomal protein S3, C-terminal domain"
PF00190,CL0029,Cupin
PF00191,,Annexin
PF00193,CL0056,Extracellular link domain
PF00194,,Eukaryotic-type carbonic anhydrase
PF00195,CL0046,"Chalcone and stilbene synthases, N-terminal domain"
PF00196,CL0123,"Bacterial regulatory proteins, luxR family"
PF00197,CL0066,Trypsin and protease inhibitor
PF00198,CL0149,2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00199,,Catalase
PF00200,,Disintegrin
PF00201,CL0113,UDP-glucoronosyl and UDP-glucosyl transferase
PF00202,CL0061,Aminotransferase class-III
PF00203,,Ribosomal protein S19
PF00204,CL0329,DNA gyrase B
PF00205,CL0063,"Thiamine pyrophosphate enzyme, central domain"
PF00206,,Lyase
PF00207,CL0159,Alpha-2-macroglobulin family
PF00208,CL0063,Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF00209,CL0062,Sodium:neurotransmitter symporter family
PF00210,CL0044,Ferritin-like domain
PF00211,CL0276,Adenylate and Guanylate cyclase catalytic domain
PF00212,,Atrial natriuretic peptide
PF00213,CL0255,ATP synthase delta (OSCP) subunit
PF00214,,Calcitonin / CGRP / IAPP family
PF00215,CL0036,Orotidine 5'-phosphate decarboxylase / HUMPS family
PF00216,CL0548,Bacterial DNA-binding protein
PF00217,CL0286,"ATP:guanido phosphotransferase, C-terminal catalytic domain"
PF00218,CL0036,Indole-3-glycerol phosphate synthase
PF00219,CL0547,Insulin-like growth factor binding protein
PF00220,,"Neurohypophysial hormones, N-terminal Domain"
PF00221,,Aromatic amino acid lyase
PF00223,,Photosystem I psaA/psaB protein
PF00224,CL0036,"Pyruvate kinase, barrel domain"
PF00225,CL0023,Kinesin motor domain
PF00226,CL0392,DnaJ domain
PF00227,CL0052,Proteasome subunit
PF00228,,Bowman-Birk serine protease inhibitor family
PF00229,CL0100,TNF(Tumour Necrosis Factor) family 
PF00230,CL0716,Major intrinsic protein
PF00231,,ATP synthase
PF00232,CL0036,Glycosyl hydrolase family 1
PF00233,CL0237,3'5'-cyclic nucleotide phosphodiesterase
PF00234,CL0482,Protease inhibitor/seed storage/LTP family
PF00235,CL0431,Profilin
PF00236,CL0079,Glycoprotein hormone
PF00237,,Ribosomal protein L22p/L17e
PF00238,,Ribosomal protein L14p/L23e
PF00239,,"Resolvase, N terminal domain"
PF00240,CL0072,Ubiquitin family
PF00241,CL0092,Cofilin/tropomyosin-type actin-binding protein
PF00242,,DNA polymerase (viral) N-terminal domain
PF00243,CL0079,Nerve growth factor family
PF00244,CL0020,14-3-3 protein
PF00245,CL0088,Alkaline phosphatase
PF00246,CL0865,Zinc carboxypeptidase
PF00248,CL0036,Aldo/keto reductase family
PF00249,CL0123,Myb-like DNA-binding domain
PF00250,CL0123,Forkhead domain
PF00251,CL0143,Glycosyl hydrolases family 32 N-terminal domain
PF00252,CL0021,Ribosomal protein L16p/L10e
PF00253,CL0839,Ribosomal protein S14p/S29e
PF00254,CL0487,FKBP-type peptidyl-prolyl cis-trans isomerase
PF00255,CL0172,Glutathione peroxidase
PF00257,,Dehydrin
PF00258,CL0042,Flavodoxin
PF00260,,Protamine P1
PF00261,CL0452,Tropomyosin
PF00262,CL0004,Calreticulin family
PF00263,,Bacterial type II and III secretion system protein
PF00264,CL0205,Common central domain of tyrosinase
PF00265,CL0023,Thymidine kinase
PF00266,CL0061,Aminotransferase class-V
PF00267,CL0193,Gram-negative porin
PF00268,CL0044,"Ribonucleotide reductase, small chain"
PF00269,,"Small, acid-soluble spore proteins, alpha/beta type"
PF00270,CL0023,DEAD/DEAH box helicase
PF00271,CL0023,Helicase conserved C-terminal domain
PF00272,,Cecropin family
PF00273,CL0282,Serum albumin family
PF00274,CL0036,Fructose-bisphosphate aldolase class-I
PF00275,CL0290,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF00276,,Ribosomal protein L23
PF00277,,Serum amyloid A protein
PF00278,CL0105,"Pyridoxal-dependent decarboxylase, C-terminal sheet domain"
PF00280,CL0367,Potato inhibitor I family
PF00281,CL0652,Ribosomal protein L5
PF00282,CL0061,Pyridoxal-dependent decarboxylase conserved domain
PF00283,,"Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits"
PF00284,,"Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit"
PF00285,,"Citrate synthase, C-terminal domain"
PF00286,,Viral coat protein
PF00287,CL0159,Sodium / potassium ATPase beta chain
PF00288,CL0329,GHMP kinases N terminal domain
PF00289,CL0063,"Biotin carboxylase, N-terminal domain"
PF00290,CL0036,Tryptophan synthase alpha chain
PF00291,CL0063,Pyridoxal-phosphate dependent enzyme
PF00292,CL0123,'Paired box' domain
PF00293,CL0261,NUDIX domain
PF00294,CL0118,pfkB family carbohydrate kinase
PF00295,CL0268,Glycosyl hydrolases family 28
PF00296,CL0036,Luciferase-like monooxygenase
PF00297,CL0866,Ribosomal protein L3
PF00298,,"Ribosomal protein L11, RNA binding domain"
PF00299,CL0096,Squash family serine protease inhibitor
PF00300,CL0071,Histidine phosphatase superfamily (branch 1)
PF00301,,Rubredoxin
PF00302,CL0149,Chloramphenicol acetyltransferase
PF00303,,Thymidylate synthase
PF00304,CL0054,Gamma-thionin family
PF00305,,Lipoxygenase
PF00306,,"ATP synthase alpha/beta chain, C terminal domain"
PF00307,CL0188,Calponin homology (CH) domain
PF00308,CL0023,Bacterial DnaA ATPAse domain
PF00309,,"Sigma-54 factor, Activator interacting domain (AID) "
PF00310,CL0052,Glutamine amidotransferases class-II
PF00311,CL0036,Phosphoenolpyruvate carboxylase
PF00312,CL0600,Ribosomal protein S15
PF00313,CL0021,'Cold-shock' DNA-binding domain
PF00314,CL0872,Thaumatin family
PF00316,CL0171,"Fructose-1-6-bisphosphatase, N-terminal domain"
PF00317,,"Ribonucleotide reductase, all-alpha domain"
PF00318,CL0067,Ribosomal protein S2
PF00319,,SRF-type transcription factor (DNA-binding and dimerisation domain)
PF00320,CL0839,GATA zinc finger
PF00321,,Plant thionin
PF00322,,Endothelin family
PF00323,CL0075,Mammalian defensin
PF00324,CL0062,Amino acid permease
PF00325,CL0123,"Bacterial regulatory proteins, crp family"
PF00326,CL0028,Prolyl oligopeptidase family
PF00327,,Ribosomal protein L30p/L7e
PF00328,CL0071,Histidine phosphatase superfamily (branch 2)
PF00329,,"Respiratory-chain NADH dehydrogenase, 30 Kd subunit"
PF00330,,Aconitase family (aconitate hydratase)
PF00331,CL0036,Glycosyl hydrolase family 10
PF00332,CL0036,Glycosyl hydrolases family 17
PF00333,CL0196,"Ribosomal protein S5, N-terminal domain"
PF00334,,Nucleoside diphosphate kinase
PF00335,CL0347,Tetraspanin family
PF00336,,DNA polymerase (viral) C-terminal domain
PF00337,CL0004,Galactoside-binding lectin
PF00338,,Ribosomal protein S10p/S20e
PF00339,CL0135,"Arrestin (or S-antigen), N-terminal domain"
PF00340,CL0066,Interleukin-1 / 18
PF00341,CL0079,PDGF/VEGF domain
PF00342,CL0067,Phosphoglucose isomerase
PF00343,CL0113,Carbohydrate phosphorylase
PF00344,CL0376,SecY
PF00345,CL0159,"Pili and flagellar-assembly chaperone, PapD N-terminal domain"
PF00346,,"Respiratory-chain NADH dehydrogenase, 49 Kd subunit"
PF00347,,Ribosomal protein L6
PF00348,CL0613,Polyprenyl synthetase
PF00349,CL0108,Hexokinase
PF00350,CL0023,Dynamin family
PF00351,,Biopterin-dependent aromatic amino acid hydroxylase
PF00352,CL0407,"Transcription factor TFIID (or TATA-binding protein, TBP)"
PF00353,CL0592,RTX calcium-binding nonapeptide repeat (4 copies)
PF00354,CL0004,Pentaxin family
PF00355,CL0516,Rieske [2Fe-2S] domain
PF00356,CL0123,"Bacterial regulatory proteins, lacI family"
PF00357,,Integrin alpha cytoplasmic region
PF00358,CL0105,"phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1"
PF00359,CL0340,"Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2"
PF00360,CL0161,Phytochrome region
PF00361,CL0425,"NADH:quinone oxidoreductase/Mrp antiporter, TM"
PF00362,CL0128,Integrin beta chain VWA domain
PF00363,,Casein
PF00364,CL0105,Biotin-requiring enzyme
PF00365,CL0240,Phosphofructokinase
PF00366,CL0021,Ribosomal protein S17
PF00367,,"phosphotransferase system, EIIB"
PF00368,,Hydroxymethylglutaryl-coenzyme A reductase
PF00370,CL0108,"FGGY family of carbohydrate kinases, N-terminal domain"
PF00372,CL0205,"Hemocyanin, copper containing domain"
PF00373,CL0632,FERM central domain
PF00374,,Nickel-dependent hydrogenase
PF00375,,Sodium:dicarboxylate symporter family
PF00376,CL0123,MerR family regulatory protein
PF00377,,Prion/Doppel alpha-helical domain
PF00378,CL0127,Enoyl-CoA hydratase/isomerase
PF00379,,Insect cuticle protein
PF00380,CL0329,Ribosomal protein S9/S16
PF00381,,PTS HPr component phosphorylation site
PF00382,CL0065,Transcription factor TFIIB repeat
PF00383,CL0109,Cytidine and deoxycytidylate deaminase zinc-binding region
PF00384,,Molybdopterin oxidoreductase
PF00385,CL0010,Chromo (CHRromatin Organisation MOdifier) domain
PF00386,CL0100,C1q domain
PF00387,CL0036,"Phosphatidylinositol-specific phospholipase C, Y domain"
PF00388,CL0036,"Phosphatidylinositol-specific phospholipase C, X domain"
PF00389,CL0063,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain"
PF00390,CL0603,"Malic enzyme, N-terminal domain"
PF00391,CL0364,"PEP-utilising enzyme, mobile domain"
PF00392,CL0123,"Bacterial regulatory proteins, gntR family"
PF00393,CL0106,"6-phosphogluconate dehydrogenase, C-terminal domain"
PF00394,CL0026,Multicopper oxidase
PF00395,,S-layer homology domain
PF00396,,Granulin
PF00397,CL0680,WW domain
PF00398,CL0063,Ribosomal RNA adenine dimethylase
PF00399,,Yeast PIR protein repeat
PF00400,CL0186,"WD domain, G-beta repeat"
PF00401,CL0753,"ATP synthase, Delta/Epsilon chain, long alpha-helix domain"
PF00402,,Calponin family repeat
PF00403,CL0704,Heavy-metal-associated domain
PF00404,CL0220,Dockerin type I domain
PF00405,CL0177,Transferrin
PF00406,CL0023,Adenylate kinase
PF00407,CL0209,Pathogenesis-related protein Bet v 1 family
PF00408,CL0407,"Phosphoglucomutase/phosphomannomutase, C-terminal domain"
PF00410,,Ribosomal protein S8
PF00411,CL0267,Ribosomal protein S11
PF00412,CL0839,LIM domain
PF00413,CL0126,Matrixin
PF00414,,Neuraxin and MAP1B repeat
PF00415,CL0186,Regulator of chromosome condensation (RCC1) repeat
PF00416,CL0303,Ribosomal protein S13/S18
PF00418,,"Tau and MAP protein, tubulin-binding repeat"
PF00419,CL0204,Fimbrial protein
PF00420,,NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
PF00421,,Photosystem II protein
PF00423,CL0186,Haemagglutinin-neuraminidase
PF00424,,REV protein (anti-repression trans-activator protein)
PF00425,,chorismate binding enzyme
PF00426,CL0004,Outer Capsid protein VP4 (Hemagglutinin) Concanavalin-like domain
PF00427,,Phycobilisome Linker polypeptide
PF00428,,60s Acidic ribosomal protein
PF00429,,ENV polyprotein (coat polyprotein)
PF00430,CL0255,ATP synthase B/B' CF(0)
PF00431,CL0164,CUB domain
PF00432,CL0059,Prenyltransferase alpha-alpha toroid domain
PF00433,,Protein kinase C terminal domain
PF00434,CL0217,Glycoprotein VP7
PF00435,CL0743,Spectrin repeat
PF00436,CL0021,Single-strand binding protein family
PF00437,CL0023,Type II/IV secretion system protein
PF00438,,"S-adenosylmethionine synthetase, N-terminal domain"
PF00439,,Bromodomain
PF00440,CL0123,"Bacterial regulatory proteins, tetR family"
PF00441,CL0087,"Acyl-CoA dehydrogenase, C-terminal domain"
PF00443,CL0125,Ubiquitin carboxyl-terminal hydrolase
PF00444,,Ribosomal protein L36
PF00445,,Ribonuclease T2 family
PF00446,,Gonadotropin-releasing hormone
PF00447,CL0123,HSF-type DNA-binding
PF00448,CL0023,"SRP54-type protein, GTPase domain"
PF00449,CL0036,"Urease alpha-subunit, N-terminal domain"
PF00450,CL0028,Serine carboxypeptidase
PF00451,CL0054,"Scorpion short toxin, BmKK2"
PF00452,CL0551,"Apoptosis regulator proteins, Bcl-2 family"
PF00453,,Ribosomal protein L20
PF00454,CL0016,Phosphatidylinositol 3- and 4-kinase
PF00455,CL0063,DeoR C terminal sensor domain
PF00456,CL0254,"Transketolase, thiamine diphosphate binding domain"
PF00457,CL0004,Glycosyl hydrolases family 11
PF00458,CL0600,WHEP-TRS domain
PF00459,CL0171,Inositol monophosphatase family
PF00460,,Flagella basal body rod protein
PF00462,CL0172,Glutaredoxin
PF00463,CL0036,Isocitrate lyase family
PF00464,CL0061,Serine hydroxymethyltransferase
PF00465,CL0224,Iron-containing alcohol dehydrogenase 
PF00466,,Ribosomal protein L10
PF00467,CL0010,KOW motif
PF00468,,Ribosomal protein L34
PF00469,,"Negative factor, (F-Protein) or Nef"
PF00471,CL0167,Ribosomal protein L33
PF00472,CL0337,RF-1 domain
PF00473,,Corticotropin-releasing factor family
PF00474,CL0062,Sodium:solute symporter family
PF00475,CL0329,Imidazoleglycerol-phosphate dehydratase
PF00476,,DNA polymerase family A
PF00477,CL0385,Small hydrophilic plant seed protein
PF00478,CL0036,IMP dehydrogenase / GMP reductase domain
PF00479,CL0063,"Glucose-6-phosphate dehydrogenase, NAD binding domain"
PF00480,CL0108,ROK family
PF00481,CL0238,Protein phosphatase 2C
PF00482,,"Type II secretion system (T2SS), protein F"
PF00483,CL0110,Nucleotidyl transferase
PF00484,,Carbonic anhydrase
PF00485,CL0023,Phosphoribulokinase / Uridine kinase family
PF00486,CL0123,"Transcriptional regulatory protein, C terminal"
PF00487,CL0713,Fatty acid desaturase
PF00488,CL0023,MutS domain V
PF00489,CL0053,Interleukin-6/G-CSF/MGF family
PF00490,CL0036,Delta-aminolevulinic acid dehydratase
PF00491,CL0302,Arginase family
PF00493,CL0023,MCM P-loop domain
PF00494,CL0613,Squalene/phytoene synthase
PF00496,CL0177,"Bacterial extracellular solute-binding proteins, family 5 Middle"
PF00497,CL0177,"Bacterial extracellular solute-binding proteins, family 3"
PF00498,CL0357,FHA domain
PF00499,,NADH-ubiquinone/plastoquinone oxidoreductase chain 6
PF00500,CL0055,L1 (late) protein
PF00501,CL0378,AMP-binding enzyme
PF00502,CL0090,Phycobilisome protein
PF00503,CL0023,G-protein alpha subunit
PF00504,,Chlorophyll A-B binding protein
PF00505,CL0114,HMG (high mobility group) box
PF00506,,Influenza virus nucleoprotein
PF00507,,"NADH-ubiquinone/plastoquinone oxidoreductase, chain 3"
PF00508,,"E2 (early) protein, N terminal"
PF00509,,Haemagglutinin
PF00510,,Cytochrome c oxidase subunit III
PF00511,,"E2 (early) protein, C terminal"
PF00512,CL0025,His Kinase A (phospho-acceptor) domain
PF00513,,Late Protein L2
PF00514,CL0020,Armadillo/beta-catenin-like repeat
PF00515,CL0020,Tetratricopeptide repeat
PF00516,,Envelope glycoprotein GP120
PF00517,,Retroviral envelope protein
PF00518,,Early Protein (E6)
PF00519,CL0023,Papillomavirus helicase
PF00520,CL0030,Ion transport protein
PF00521,,"DNA gyrase/topoisomerase IV, subunit A"
PF00522,,VPR/VPX protein
PF00523,CL0595,Fusion glycoprotein F0
PF00524,,"E1 Protein, N terminal domain"
PF00525,,"Alpha crystallin A chain, N terminal"
PF00526,,Dictyostelium (slime mold) repeat
PF00527,,"E7 protein, Early protein"
PF00528,CL0404,Binding-protein-dependent transport system inner membrane component
PF00529,CL0866,Cation efflux system protein CusB domain 1
PF00530,CL0550,Scavenger receptor cysteine-rich domain
PF00531,CL0041,Death domain
PF00532,CL0144,Periplasmic binding proteins and sugar binding domain of LacI family
PF00533,CL0459,BRCA1 C Terminus (BRCT) domain
PF00534,CL0113,Glycosyl transferases group 1
PF00535,CL0110,Glycosyl transferase family 2
PF00536,CL0003,SAM domain (Sterile alpha motif)
PF00537,CL0054,Scorpion toxin-like domain 
PF00538,CL0123,linker histone H1 and H5 family
PF00539,,Transactivating regulatory protein (Tat)
PF00540,CL0074,gag gene protein p17 (matrix protein)
PF00541,CL0326,Adenoviral fibre protein (knob domain)
PF00542,,Ribosomal protein L7/L12 C-terminal domain
PF00543,CL0089,Nitrogen regulatory protein P-II
PF00544,CL0268,Pectate lyase
PF00545,,ribonuclease
PF00547,,"Urease, gamma subunit"
PF00548,CL0124,3C cysteine protease (picornain 3C)
PF00549,CL0506,CoA-ligase
PF00550,CL0314,Phosphopantetheine attachment site
PF00551,,Formyl transferase
PF00552,CL0010,Integrase DNA binding domain
PF00553,CL0203,Cellulose binding domain
PF00554,CL0073,Rel homology DNA-binding domain
PF00555,CL0568,delta endotoxin
PF00556,,Antenna complex alpha/beta subunit
PF00557,,Metallopeptidase family M24
PF00558,,Vpu protein
PF00559,,Retroviral Vif (Viral infectivity) protein
PF00560,CL0022,Leucine Rich Repeat
PF00561,CL0028,alpha/beta hydrolase fold
PF00562,CL0410,"RNA polymerase Rpb2, domain 6"
PF00563,CL0276,EAL domain
PF00564,CL0072,PB1 domain
PF00565,CL0010,Staphylococcal nuclease homologue
PF00566,CL0816,Rab-GTPase-TBC domain
PF00567,CL0010,Tudor domain
PF00568,CL0266,WH1 domain
PF00569,CL0229,"Zinc finger, ZZ type"
PF00570,CL0426,HRDC domain
PF00571,,CBS domain
PF00572,,Ribosomal protein L13
PF00573,,Ribosomal protein L4/L1 family
PF00574,CL0127,Clp protease
PF00575,CL0021,S1 RNA binding domain
PF00576,CL0287,HIUase/Transthyretin family
PF00577,CL0193,Outer membrane usher protein
PF00578,CL0172,AhpC/TSA family
PF00579,CL0039,tRNA synthetases class I (W and Y)
PF00580,CL0023,UvrD/REP helicase N-terminal domain
PF00581,CL0031,Rhodanese-like domain
PF00582,CL0039,Universal stress protein family
PF00583,CL0257,Acetyltransferase (GNAT) family
PF00584,,SecE/Sec61-gamma subunits of protein translocation complex
PF00585,CL0070,C-terminal regulatory domain of Threonine dehydratase
PF00586,CL0804,"AIR synthase related protein, N-terminal domain"
PF00587,CL0040,"tRNA synthetase class II core domain (G, H, P, S and T)"
PF00588,CL0098,SpoU rRNA Methylase family
PF00589,CL0382,Phage integrase family
PF00590,,Tetrapyrrole (Corrin/Porphyrin) Methylases
PF00591,,"Glycosyl transferase family, a/b domain"
PF00593,CL0193,"TonB dependent receptor-like, beta-barrel"
PF00594,CL0001,Vitamin K-dependent carboxylation/gamma-carboxyglutamic (GLA) domain
PF00595,CL0466,PDZ domain
PF00596,,Class II Aldolase and Adducin N-terminal domain
PF00598,,Influenza Matrix protein (M1)
PF00599,,Influenza Matrix protein (M2)
PF00600,CL0600,Influenza non-structural protein (NS1)
PF00601,,Influenza non-structural protein (NS2)
